NAME,median_household_income,median_home_value,state,year,mortgage_rate,hpi,real_income,price_to_income_ratio,monthly_income,monthly_payment_proxy,annual_tax_ins,monthly_piti,total_monthly_debt,total_dti,income_qualified,savings_capable,mortgage_eligible,homeowner_proxy
North Carolina,67481,280600,37,2022,5.344038461538461,607.9425,16287.583333333334,4.158207495443162,5623.416666666667,1252.6939780342893,4770.200000000001,1650.210644700956,2050.210644700956,0.3645845161810209,1,0,0,0
North Dakota,71970,243100,38,2022,5.344038461538461,607.9425,16287.583333333334,3.377796304015562,5997.5,1085.2812047759649,4132.700000000001,1429.6728714426315,1829.6728714426315,0.30507259215383603,1,1,1,1
Ohio,65720,204100,39,2022,5.344038461538461,607.9425,16287.583333333334,3.1055995130858185,5476.666666666667,911.1719205873075,3469.7000000000003,1200.3135872539742,1600.3135872539742,0.29220576760571654,1,1,1,1
Oklahoma,59673,191700,40,2022,5.344038461538461,607.9425,16287.583333333334,3.2125081695239053,4972.75,855.8140968965548,3258.9,1127.3890968965547,1527.3890968965547,0.3071517966711688,1,1,1,1
Oregon,75657,475600,41,2022,5.344038461538461,607.9425,16287.583333333334,6.286265646271991,6304.75,2123.2403989775767,8085.200000000001,2797.0070656442435,3197.0070656442435,0.5070791174343541,0,0,0,0
Pennsylvania,71798,245500,42,2022,5.344038461538461,607.9425,16287.583333333334,3.4193153012618738,5983.166666666667,1095.9956222644976,4173.5,1443.7872889311643,1843.7872889311643,0.3081624483575304,1,1,1,1
Rhode Island,81854,383900,44,2022,5.344038461538461,607.9425,16287.583333333334,4.6900579079825055,6821.166666666667,1713.8603641032205,6526.3,2257.718697436554,2657.718697436554,0.38962817173551256,1,0,0,0
South Carolina,64115,254600,45,2022,5.344038461538461,607.9425,16287.583333333334,3.9709896280121657,5342.916666666667,1136.6211219085178,4328.200000000001,1497.3044552418512,1897.3044552418512,0.35510650335962274,1,0,0,0
South Dakota,69728,245000,46,2022,5.344038461538461,607.9425,16287.583333333334,3.513653051858651,5810.666666666667,1093.7634519543867,4165.0,1440.84678528772,1840.84678528772,0.3168047473533249,1,1,0,0
Tennessee,65254,284800,47,2022,5.344038461538461,607.9425,16287.583333333334,4.364483403316272,5437.833333333333,1271.4442086392216,4841.6,1674.9108753058883,2074.910875305888,0.38156941342554723,1,0,0,0
Texas,72284,275400,48,2022,5.344038461538461,607.9425,16287.583333333334,3.8099717779868296,6023.666666666667,1229.479406809135,4681.8,1619.6294068091352,2019.6294068091352,0.3352823983413981,1,0,0,0
Utah,89168,499500,49,2022,5.344038461538461,607.9425,16287.583333333334,5.60178539386327,7430.666666666667,2229.9381398008823,8491.5,2937.5631398008823,3337.5631398008823,0.4491606594025949,0,0,0,0
Vermont,73991,304700,50,2022,5.344038461538461,607.9425,16287.583333333334,4.118068413725994,6165.916666666667,1360.2845869816392,5179.900000000001,1791.9429203149725,2191.9429203149725,0.3554934389828448,1,0,0,0
Virginia,85873,365700,51,2022,5.344038461538461,607.9425,16287.583333333334,4.258614465547961,7156.083333333333,1632.6093648151805,6216.900000000001,2150.6843648151807,2550.6843648151807,0.35643581076452635,1,0,0,0
Washington,91306,569500,53,2022,5.344038461538461,607.9425,16287.583333333334,6.237268087529845,7608.833333333333,2542.4419832164212,9681.5,3349.2336498830878,3749.2336498830878,0.492747506172618,0,0,0,0
West Virginia,54329,155100,54,2022,5.344038461538461,607.9425,16287.583333333334,2.854828912735372,4527.416666666667,692.4192301964301,2636.7000000000003,912.1442301964302,1312.1442301964303,0.2898218403128562,1,1,1,1
Wisconsin,70996,252800,55,2022,5.344038461538461,607.9425,16287.583333333334,3.5607639867034764,5916.333333333333,1128.585308792118,4297.6,1486.7186421254514,1886.7186421254514,0.31889999021783505,1,1,0,0
Wyoming,70042,292300,56,2022,5.344038461538461,607.9425,16287.583333333334,4.1732103594985865,5836.833333333333,1304.9267632908866,4969.1,1719.0184299575533,2119.018429957553,0.3630424767923623,1,0,0,0
Puerto Rico,24112,122200,72,2022,5.344038461538461,607.9425,16287.583333333334,5.068015925680159,2009.3333333333333,545.5424237911267,2077.4,718.6590904577934,1118.6590904577934,0.5567314650586231,0,0,0,0
